layer,party_nodes,concept_nodes,bipartite_edges,party_projection_edges,concept_projection_edges,party_projection_density,concept_projection_density,party_bloc_assortativity,avg_party_closeness,avg_party_betweenness,avg_concept_closeness,avg_concept_betweenness,party_avg_path_lcc,concept_avg_path_lcc,date
positive,4,11,36,3,20,0.5,0.36363636363636365,-0.5000000000000001,0.546704245768539,0.3333333333333333,0.4241561399844606,0.14343434343434344,1.9057128281674336,2.477922993081789,2006-05-01
positive,5,12,48,5,24,0.5,0.36363636363636365,-0.4285714285714284,0.5937683795883302,0.2,0.44929541724152067,0.10606060606060606,1.7617663065121865,2.332413934844235,2006-06-01
positive,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006-07-01
positive,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006-08-01
positive,5,9,27,5,13,0.5,0.3611111111111111,-0.4285714285714284,0.49752373358628255,0.2,0.3609896641224269,0.14285714285714285,2.1321530941286317,3.1253071554949665,2006-09-01
positive,4,10,26,3,16,0.5,0.35555555555555557,-0.1999999999999996,0.46837148628946645,0.25,0.45018610320802954,0.11111111111111109,2.251113561669248,2.265484139459848,2006-10-01
positive,4,9,27,3,13,0.5,0.3611111111111111,-0.1999999999999996,0.43797284653342283,0.3333333333333333,0.48233203016080434,0.1388888888888889,2.4235117432384574,2.1737076217869093,2006-11-01
positive,5,11,35,5,20,0.5,0.36363636363636365,-0.4285714285714284,0.31904483379839543,0.2,0.4658183415547504,0.11515151515151517,3.5485230119340208,2.308323328998234,2006-12-01
positive,5,9,27,5,13,0.5,0.3611111111111111,-0.4285714285714284,0.39403262355115787,0.2,0.4467932050307623,0.16269841269841268,2.656485221674326,2.3647002260025287,2007-01-01
positive,5,11,38,5,19,0.5,0.34545454545454546,-0.24999999999999983,0.5158479945661948,0.2333333333333333,0.41874397942448555,0.1393939393939394,2.009649424542409,2.586463643527685,2007-02-01
positive,5,10,31,5,16,0.5,0.35555555555555557,-0.24999999999999983,0.2528002100624247,0.16666666666666666,0.3686041602875859,0.14166666666666666,4.7077551961293524,2.8631749299063314,2007-03-01
positive,5,11,29,4,19,0.4,0.34545454545454546,-0.3333333333333333,0.2834835575941478,0.3333333333333333,0.4022509726318161,0.15959595959595957,3.8790056410333995,2.657511751966713,2007-04-01
