party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer,date
Anavatan Partisi,191.54999999999998,0.7225976845916476,0.6666666666666666,0.5983981667491045,opposition,total,2003-12-01
Bağımsız,99.55,0.40546083921459175,0.0,0.1526427617852795,opposition,total,2003-12-01
Doğru Yol Partisi,81.35,0.5991170175222675,0.5,0.3292390551114796,opposition,total,2003-12-01
Adalet ve Kalkınma Partisi,1059.0500000000002,0.7121492221136141,0.6666666666666666,0.608922391359222,government,total,2004-01-01
Cumhuriyet Halk Partisi,825.85,0.4777771788749309,0.0,0.3834511226323409,opposition,total,2004-01-01
Anavatan Partisi,19.650000000000002,0.7121492221136141,0.6666666666666666,0.5941087750168287,opposition,total,2004-01-01
Bağımsız,13.149999999999999,0.4714486371059212,0.0,0.35946282325348633,opposition,total,2004-01-01
Cumhuriyet Halk Partisi,1987.1499999999999,0.5169648681104246,0.0,0.5199985688059152,opposition,total,2004-02-01
Adalet ve Kalkınma Partisi,1097.95,0.7058846375658399,0.8333333333333333,0.6134705440039804,government,total,2004-02-01
Bağımsız,73.49999999999999,0.4460521556448187,0.0,0.26753696641535735,opposition,total,2004-02-01
Anavatan Partisi,63.55000000000001,0.5138203448859254,0.0,0.5171170932272279,opposition,total,2004-02-01
Doğru Yol Partisi,2.35,0.3062883913319297,0.0,0.11945402284038244,opposition,total,2004-02-01
Adalet ve Kalkınma Partisi,223.1,0.8558137795113036,1.0,0.707106781263665,government,total,2004-03-01
Cumhuriyet Halk Partisi,212.25,0.5708615034752754,0.0,0.5008366819339762,opposition,total,2004-03-01
Anavatan Partisi,31.700000000000003,0.5702238921551369,0.0,0.4991619155347335,opposition,total,2004-03-01
Adalet ve Kalkınma Partisi,754.4499999999999,0.6211095115726748,0.6666666666666666,0.6603650677448794,government,total,2004-04-01
Cumhuriyet Halk Partisi,543.0500000000001,0.4289797024684505,0.0,0.4397872566772221,opposition,total,2004-04-01
Doğru Yol Partisi,38.55,0.37568796531980836,0.0,0.25282004924906765,opposition,total,2004-04-01
Anavatan Partisi,36.25,0.6211095115726748,0.6666666666666666,0.5537031414614902,opposition,total,2004-04-01
Cumhuriyet Halk Partisi,1762.3000000000002,0.5156241446065063,0.0,0.5188175980788423,opposition,total,2004-05-01
Adalet ve Kalkınma Partisi,1005.1,0.6232162144483906,0.5,0.5857687443906315,government,total,2004-05-01
Anavatan Partisi,22.8,0.6005452691139572,0.5,0.5511158239846141,opposition,total,2004-05-01
Bağımsız,11.5,0.36622286937058396,0.0,0.20971348782843824,opposition,total,2004-05-01
Doğru Yol Partisi,1.35,0.36022145700471053,0.0,0.1999871985785966,opposition,total,2004-05-01
Cumhuriyet Halk Partisi,2336.5499999999997,0.6533395161823587,0.5,0.5929350234441776,opposition,total,2004-06-01
Adalet ve Kalkınma Partisi,1153.85,0.5577695224044243,0.0,0.5190314557185656,government,total,2004-06-01
Anavatan Partisi,50.349999999999994,0.6321577029414492,0.5,0.5304525978714746,opposition,total,2004-06-01
Doğru Yol Partisi,44.15,0.4117823678174594,0.0,0.25342220165013096,opposition,total,2004-06-01
Bağımsız,11.1,0.37102912234148644,0.0,0.182843198041719,opposition,total,2004-06-01
Cumhuriyet Halk Partisi,2407.9,0.590417074498061,0.6666666666666666,0.5731164382773697,opposition,total,2004-07-01
Adalet ve Kalkınma Partisi,727.8000000000001,0.5904170744980611,0.6666666666666666,0.6643596863889807,government,total,2004-07-01
Doğru Yol Partisi,158.3,0.34794373206901164,0.0,0.24212849295598257,opposition,total,2004-07-01
Anavatan Partisi,121.55,0.4010285279706794,0.0,0.41417091662291033,opposition,total,2004-07-01
Adalet ve Kalkınma Partisi,20.8,0.2134661993532117,1.0,0.707106781184932,government,total,2004-08-01
Cumhuriyet Halk Partisi,15.049999999999999,0.18479404271569433,0.0,0.6833723700592323,opposition,total,2004-08-01
Doğru Yol Partisi,3.05,0.09829341220795314,0.0,0.09049243155644816,opposition,total,2004-08-01
Anavatan Partisi,1.0,0.1275858405205203,0.0,0.15752245450383842,opposition,total,2004-08-01
Cumhuriyet Halk Partisi,668.5500000000001,0.6594865583210515,1.0,0.7071067811823806,opposition,total,2004-09-01
Adalet ve Kalkınma Partisi,341.75,0.454447184336802,0.0,0.4861319753438481,government,total,2004-09-01
Doğru Yol Partisi,77.65,0.3164405855444009,0.0,0.20232557130239862,opposition,total,2004-09-01
Anavatan Partisi,1.35,0.45024174985096904,0.0,0.4719534571876122,opposition,total,2004-09-01
Adalet ve Kalkınma Partisi,197.4,0.6636331659370119,0.6666666666666666,0.6084470902193324,government,total,2004-10-01
Cumhuriyet Halk Partisi,151.0,0.6636331659370119,0.6666666666666666,0.6111405205077703,opposition,total,2004-10-01
Anavatan Partisi,26.549999999999997,0.43508581311697764,0.0,0.36026676005929636,opposition,total,2004-10-01
Doğru Yol Partisi,10.7,0.43382463832527085,0.0,0.35567859676046926,opposition,total,2004-10-01
Cumhuriyet Halk Partisi,1017.25,0.6819957723791217,0.8333333333333333,0.5955502395169113,opposition,total,2004-11-01
Adalet ve Kalkınma Partisi,915.55,0.5150096558060429,0.0,0.5533823860001149,government,total,2004-11-01
Anavatan Partisi,59.45,0.46576491575270046,0.0,0.5153060572519673,opposition,total,2004-11-01
Doğru Yol Partisi,42.75,0.3672504143266859,0.0,0.19280656429573007,opposition,total,2004-11-01
Bağımsız,14.35,0.36540317487792245,0.0,0.19071744335555155,opposition,total,2004-11-01
Adalet ve Kalkınma Partisi,4965.8,0.8637490568846582,0.8333333333333333,0.6320147189646411,government,total,2004-12-01
Cumhuriyet Halk Partisi,3864.6,0.5000240440100705,0.0,0.2733324954257937,opposition,total,2004-12-01
Anavatan Partisi,168.60000000000002,0.5729377825778219,0.0,0.47785821085368807,opposition,total,2004-12-01
Doğru Yol Partisi,80.89999999999999,0.47149964434460234,0.0,0.238997093444369,opposition,total,2004-12-01
Bağımsız,49.8,0.591090758578927,0.0,0.4902842661163111,opposition,total,2004-12-01
Cumhuriyet Halk Partisi,882.7500000000001,0.6456422913311829,0.5,0.5788235988782657,opposition,total,2005-01-01
Adalet ve Kalkınma Partisi,451.5,0.6466888844989261,0.5,0.5511304718658931,government,total,2005-01-01
Doğru Yol Partisi,51.5,0.41631838803452986,0.0,0.2727998806497929,opposition,total,2005-01-01
Anavatan Partisi,19.150000000000002,0.39097849511669114,0.0,0.21912239170593967,opposition,total,2005-01-01
Bağımsız,11.75,0.5373072152585286,0.0,0.4886553457530348,opposition,total,2005-01-01
Cumhuriyet Halk Partisi,1111.6999999999998,0.38214353378762717,0.6666666666666666,0.6115190143631102,opposition,total,2005-02-01
Adalet ve Kalkınma Partisi,859.1,0.32017370014199464,0.0,0.5414605981749664,government,total,2005-02-01
Anavatan Partisi,72.75,0.34191315507000397,0.5,0.25857214522287164,opposition,total,2005-02-01
Doğru Yol Partisi,64.25,0.30956087752387834,0.0,0.5152460902105318,opposition,total,2005-02-01
Bağımsız,2.35,0.13717111413648114,0.0,0.022952732603776463,opposition,total,2005-02-01
