speech_id,transcript_id,date,year,month,month_date,speaker,source_party,source_party_short,source_bloc,target_party,target_party_short,target_bloc,mention_count,beme_positive_hits,beme_negative_hits,relation_weight,beme_score,beme_label,topic_category,topic_label,positive_weight,negative_weight,net_weight
term_22_directed_038825,16325,2006-03-15,2006,3,2006-03-01,Ümmet Kandoğan,Doğru Yol Partisi,DYP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,2,1,0,2.35,0.5,positive,general,General,1.175,0.0,1.175
term_22_directed_038866,16325,2006-03-15,2006,3,2006-03-01,Haluk Koç,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,2,1,0,2.35,0.5,positive,general,General,1.175,0.0,1.175
term_22_directed_038875,16345,2006-03-16,2006,3,2006-03-01,Rasim Çakır,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,3,1,0,3.35,0.5,positive,general,General,1.675,0.0,1.675
term_22_directed_038880,16345,2006-03-16,2006,3,2006-03-01,Ümmet Kandoğan,Doğru Yol Partisi,DYP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_038890,16345,2006-03-16,2006,3,2006-03-01,Bülent Baratalı,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,1,1.35,-0.5,negative,macro_economy,Economy,0.0,0.675,-0.675
term_22_directed_038896,16345,2006-03-16,2006,3,2006-03-01,Eyüp Fatsa,Adalet ve Kalkınma Partisi,AK Party,government,Cumhuriyet Halk Partisi,CHP,opposition,4,2,0,4.7,0.6667,positive,general,General,3.13349,0.0,3.13349
term_22_directed_038898,16345,2006-03-16,2006,3,2006-03-01,Eyüp Fatsa,Adalet ve Kalkınma Partisi,AK Party,government,Cumhuriyet Halk Partisi,CHP,opposition,1,0,1,1.35,-0.5,negative,general,General,0.0,0.675,-0.675
term_22_directed_038900,16345,2006-03-16,2006,3,2006-03-01,Hüseyin Özcan,Anavatan Partisi,ANAP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_038901,16345,2006-03-16,2006,3,2006-03-01,Hüseyin Özcan,Anavatan Partisi,ANAP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,2,0,2,2.7,-0.6667,negative,general,General,0.0,1.80009,-1.80009
term_22_directed_038902,16345,2006-03-16,2006,3,2006-03-01,Hüseyin Özcan,Anavatan Partisi,ANAP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,1,1.35,-0.5,negative,general,General,0.0,0.675,-0.675
term_22_directed_038909,16345,2006-03-16,2006,3,2006-03-01,Berhan Şimşek,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_038920,16345,2006-03-16,2006,3,2006-03-01,Mehmet Yıldırım,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,3,2,0,3.7,0.6667,positive,macro_economy,Economy,2.46679,0.0,2.46679
term_22_directed_038921,16345,2006-03-16,2006,3,2006-03-01,Mehmet Yıldırım,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,0,1.0,0.0,mixed,macro_economy,Economy,0.0,0.0,0.0
term_22_directed_038921,16345,2006-03-16,2006,3,2006-03-01,Mehmet Yıldırım,Cumhuriyet Halk Partisi,CHP,opposition,Anavatan Partisi,ANAP,opposition,1,0,0,1.0,0.0,mixed,general,General,0.0,0.0,0.0
term_22_directed_038924,16345,2006-03-16,2006,3,2006-03-01,Mehmet Yıldırım,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,2,0,1,2.35,-0.5,negative,macro_economy,Economy,0.0,1.175,-1.175
term_22_directed_038928,16345,2006-03-16,2006,3,2006-03-01,Atilla Kart,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,1,0,1.35,0.5,positive,general,General,0.675,0.0,0.675
term_22_directed_038933,16345,2006-03-16,2006,3,2006-03-01,Enis Tütüncü,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,1,0,2,1.7,-0.6667,negative,general,General,0.0,1.13339,-1.13339
term_22_directed_038935,16345,2006-03-16,2006,3,2006-03-01,Enis Tütüncü,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,5,0,3,6.05,-0.75,negative,general,General,0.0,4.5375,-4.5375
term_22_directed_038936,16345,2006-03-16,2006,3,2006-03-01,Enis Tütüncü,Cumhuriyet Halk Partisi,CHP,opposition,Adalet ve Kalkınma Partisi,AK Party,government,2,0,2,2.7,-0.6667,negative,general,General,0.0,1.80009,-1.80009
