party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer,year
Milliyetçi Hareket Partisi,3726.0,0.6479211726366673,0.2222222222222222,0.331789347453805,opposition,total,2020
Türkiye İşçi Partisi,172.04999999999998,0.56784284468936,0.0,0.3354719822862913,opposition,total,2020
Bağımsız,99.85,0.6568795996528219,0.0,0.385181857418433,opposition,total,2020
Büyük Birlik Partisi,97.45000000000002,0.38278112382590723,0.0,0.05224252003990727,opposition,total,2020
Saadet Partisi,61.099999999999994,0.40657783521922813,0.0,0.061386512413052485,opposition,total,2020
Demokrat Parti,59.35,0.4053819834541239,0.0,0.061935885491916476,opposition,total,2020
Cumhuriyet Halk Partisi,9391.65,0.584761605504664,0.0,0.3925315355474142,opposition,total,2021
Halkların Demokratik Partisi,7295.8,0.5682502886435796,0.0,0.3798222216056913,opposition,total,2021
İYİ Parti,5864.65,0.5876099027555433,0.19444444444444442,0.39641911023230325,opposition,total,2021
Adalet ve Kalkınma Partisi,5683.400000000001,0.6856635511166798,0.3333333333333333,0.42527987705658116,opposition,total,2021
Milliyetçi Hareket Partisi,3276.7999999999997,0.6298903407398766,0.05555555555555555,0.40108598447522786,opposition,total,2021
Büyük Birlik Partisi,92.60000000000001,0.5101656792375281,0.25,0.1819700794684965,opposition,total,2021
Demokrat Parti,31.75,0.534675674594699,0.0,0.36059056818164786,opposition,total,2021
Saadet Partisi,26.15,0.3598817130630129,0.0,0.12244885120095494,opposition,total,2021
Türkiye İşçi Partisi,23.5,0.44505472197445606,0.0,0.15473610675346014,opposition,total,2021
Bağımsız,11.8,0.3071513598402325,0.0,0.0264077691073152,opposition,total,2021
Cumhuriyet Halk Partisi,9280.500000000002,0.7092145617196379,0.16666666666666666,0.4356416721702129,opposition,total,2022
Halkların Demokratik Partisi,7561.95,0.6935725354569698,0.2222222222222222,0.40114014980017887,opposition,total,2022
İYİ Parti,6309.750000000001,0.6442696166194362,0.05555555555555555,0.39079614959826536,opposition,total,2022
Adalet ve Kalkınma Partisi,5849.0,0.6481925154199856,0.2777777777777778,0.34857604066745196,opposition,total,2022
Milliyetçi Hareket Partisi,3029.2999999999997,0.488715716535547,0.0,0.2189155884191719,opposition,total,2022
Bağımsız,110.64999999999999,0.5397497603429746,0.0,0.32872815539536815,opposition,total,2022
Demokrat Parti,42.550000000000004,0.4084418227237453,0.0,0.07536827858876015,opposition,total,2022
Büyük Birlik Partisi,37.25,0.36211284750291245,0.0,0.05408480224691603,opposition,total,2022
Saadet Partisi,35.900000000000006,0.6007359315017715,0.0,0.36960483487272144,opposition,total,2022
Türkiye İşçi Partisi,20.75,0.5081733337430571,0.0,0.27180234510290335,opposition,total,2022
Halkların Demokratik Partisi,2259.0,0.5746560489280901,0.3333333333333333,0.4488584741302935,opposition,total,2023
Cumhuriyet Halk Partisi,2122.8,0.5207277300776744,0.0,0.42830128963554315,opposition,total,2023
İYİ Parti,1654.1000000000001,0.6227359304233046,0.0,0.49412011896392694,opposition,total,2023
Adalet ve Kalkınma Partisi,1044.6999999999998,0.6406022061569814,0.4,0.5073397978883891,opposition,total,2023
Milliyetçi Hareket Partisi,771.95,0.5237416806897189,0.3333333333333333,0.31509830071264266,opposition,total,2023
Türkiye İşçi Partisi,5.050000000000001,0.3401283367922373,0.0,0.1001410661279561,opposition,total,2023
Demokrat Parti,4.0,0.3117449407099662,0.0,0.06496568920868721,opposition,total,2023
Adalet ve Kalkınma Partisi,1260.4434549999999,0.444807937033775,0.0,0.4005046386530012,opposition,positive,2018
Cumhuriyet Halk Partisi,875.936635,0.45294726121261764,0.05555555555555555,0.34812239879251033,opposition,positive,2018
Milliyetçi Hareket Partisi,695.64657,0.4333566327122835,0.0,0.3920722898839896,opposition,positive,2018
Halkların Demokratik Partisi,487.452045,0.4268227246232113,0.1388888888888889,0.2580206756147515,opposition,positive,2018
İYİ Parti,255.840525,0.49479863135463725,0.1388888888888889,0.4384941862413415,opposition,positive,2018
Bağımsız,34.977149999999995,0.542091418155852,0.38888888888888884,0.41498208107203544,opposition,positive,2018
Demokrat Parti,16.512600000000003,0.39985695677377103,0.0,0.34176520086371065,opposition,positive,2018
Büyük Birlik Partisi,12.758389999999999,0.36251831515471233,0.2222222222222222,0.07407328520979611,opposition,positive,2018
Saadet Partisi,6.925065,0.17761900901473648,0.0,0.005578096395343612,opposition,positive,2018
Türkiye İşçi Partisi,5.375,0.30460141290939435,0.0,0.1063145432003335,opposition,positive,2018
Adalet ve Kalkınma Partisi,1647.9697049999997,0.4917482739936162,0.16666666666666666,0.41897023093681673,opposition,positive,2019
Cumhuriyet Halk Partisi,1597.1564049999997,0.4176495998070958,0.0,0.37597194644156623,opposition,positive,2019
İYİ Parti,1040.2343799999999,0.47054252118242756,0.027777777777777776,0.42575050932845465,opposition,positive,2019
Milliyetçi Hareket Partisi,800.721265,0.47965243211088116,0.0,0.37838013775128676,opposition,positive,2019
Halkların Demokratik Partisi,707.26109,0.44286164741022,0.08333333333333333,0.38430719799579266,opposition,positive,2019
Bağımsız,32.3452,0.4940351691008951,0.41666666666666663,0.3077553519759177,opposition,positive,2019
Büyük Birlik Partisi,25.34275,0.2987897224777396,0.2222222222222222,0.037626084590832984,opposition,positive,2019
Türkiye İşçi Partisi,16.83009,0.3720346269277561,0.0,0.29918195751212445,opposition,positive,2019
Demokrat Parti,3.66226,0.3701529764236754,0.0,0.15910980811316497,opposition,positive,2019
Saadet Partisi,2.6125,0.20515710076423072,0.0,0.005209621688714613,opposition,positive,2019
Cumhuriyet Halk Partisi,1926.750785,0.48552330333724975,0.0,0.30849314632266417,opposition,positive,2020
Adalet ve Kalkınma Partisi,1831.09887,0.6290088318253053,0.1388888888888889,0.4598042721070428,opposition,positive,2020
İYİ Parti,1141.368515,0.5994867661084888,0.3055555555555555,0.43995602360266073,opposition,positive,2020
Halkların Demokratik Partisi,1107.011215,0.5019117559836244,0.2222222222222222,0.2980246628981955,opposition,positive,2020
Milliyetçi Hareket Partisi,842.42409,0.5201079473732854,0.05555555555555555,0.3658424685166117,opposition,positive,2020
Türkiye İşçi Partisi,26.707770000000004,0.5112123462462396,0.0,0.3594292254256458,opposition,positive,2020
Büyük Birlik Partisi,22.396440000000002,0.41162906572055935,0.0,0.22472737321363745,opposition,positive,2020
Bağımsız,9.333590000000001,0.20113749169122006,0.0,0.01972984271480438,opposition,positive,2020
Demokrat Parti,7.000089999999999,0.4245222900382338,0.0,0.24462019734946264,opposition,positive,2020
Saadet Partisi,4.4406,0.41480114946950536,0.0,0.1930575765088168,opposition,positive,2020
Cumhuriyet Halk Partisi,1430.41201,0.3346782049469817,0.2222222222222222,0.41605128434693667,opposition,positive,2021
Adalet ve Kalkınma Partisi,1404.242515,0.3308655030072523,0.2222222222222222,0.410652488671346,opposition,positive,2021
İYİ Parti,1318.43818,0.34240547200769866,0.1111111111111111,0.4567004569492268,opposition,positive,2021
Milliyetçi Hareket Partisi,1148.3031899999999,0.3241226980527965,0.0,0.39601363130858147,opposition,positive,2021
Halkların Demokratik Partisi,748.5676149999999,0.32810528841267206,0.2222222222222222,0.4043734683346107,opposition,positive,2021
Bağımsız,4.06687,0.07828482747773466,0.0,0.009584261825588946,opposition,positive,2021
Saadet Partisi,2.8499999999999996,0.277247314223342,0.0,0.25156533535216946,opposition,positive,2021
Büyük Birlik Partisi,2.26678,0.2795598227227267,0.2222222222222222,0.24948046660606432,opposition,positive,2021
Türkiye İşçi Partisi,0.675,0.20686242770349586,0.0,0.044739826237267785,opposition,positive,2021
Demokrat Parti,0.675,0.19078370344741044,0.0,0.04155388782267119,opposition,positive,2021
Cumhuriyet Halk Partisi,1495.853185,0.5138889234778891,0.1388888888888889,0.39586020719064097,opposition,positive,2022
Adalet ve Kalkınma Partisi,1398.086835,0.5250821337297996,0.1111111111111111,0.4482574424807797,opposition,positive,2022
İYİ Parti,1236.91307,0.5919153101346467,0.2222222222222222,0.46137436264004456,opposition,positive,2022
Halkların Demokratik Partisi,876.7327799999999,0.45794032548911495,0.0,0.2832276968385496,opposition,positive,2022
Milliyetçi Hareket Partisi,841.4670699999999,0.5269075954061508,0.05555555555555555,0.40487606382077984,opposition,positive,2022
Bağımsız,9.61708,0.371007206287491,0.05555555555555555,0.11843711091274146,opposition,positive,2022
Saadet Partisi,8.99189,0.3759751715253544,0.1388888888888889,0.12276345159229082,opposition,positive,2022
Büyük Birlik Partisi,7.387499999999999,0.33779645445091605,0.0,0.1908712539337401,opposition,positive,2022
Demokrat Parti,3.1500899999999996,0.30119751950891105,0.027777777777777776,0.038862876205029644,opposition,positive,2022
Türkiye İşçi Partisi,1.80009,0.4237355527031412,0.0,0.343963269546638,opposition,positive,2022
İYİ Parti,259.17623,0.682405716410604,0.6666666666666666,0.5956609418180645,opposition,positive,2023
Cumhuriyet Halk Partisi,249.94622500000003,0.49542285628426824,0.0,0.49588847585396484,opposition,positive,2023
Adalet ve Kalkınma Partisi,213.1757,0.5692811862425077,0.5,0.3675927378106027,opposition,positive,2023
Halkların Demokratik Partisi,170.67760000000004,0.47536187363264776,0.0,0.4795467711078821,opposition,positive,2023
Milliyetçi Hareket Partisi,155.63262500000002,0.39106605647647974,0.0,0.1849138592333152,opposition,positive,2023
Cumhuriyet Halk Partisi,1485.7749600000004,0.6612283267297536,0.2777777777777778,0.44691729430041943,opposition,negative,2018
Halkların Demokratik Partisi,918.735725,0.6101429601721455,0.2777777777777778,0.3282852112062325,opposition,negative,2018
Adalet ve Kalkınma Partisi,523.1524049999999,0.5036739030202988,0.2222222222222222,0.19257574879188138,opposition,negative,2018
Milliyetçi Hareket Partisi,378.68746,0.5438208985327779,0.0,0.3086475678528586,opposition,negative,2018
İYİ Parti,313.13844,0.5757545614313335,0.05555555555555555,0.4247338732553082,opposition,negative,2018
Bağımsız,44.759245,0.316275123404305,0.0,0.031529765480830745,opposition,negative,2018
Türkiye İşçi Partisi,18.860619999999997,0.56041072564603,0.0,0.41767755180105975,opposition,negative,2018
Demokrat Parti,17.37654,0.45944652526865504,0.0,0.3116963901441395,opposition,negative,2018
Saadet Partisi,2.96478,0.470723220525288,0.0,0.3247127653554303,opposition,negative,2018
Büyük Birlik Partisi,2.835,0.31540852894780186,0.0,0.041285177731423206,opposition,negative,2018
Cumhuriyet Halk Partisi,2287.05099,0.45931851227299486,0.0,0.29065864569845795,opposition,negative,2019
Halkların Demokratik Partisi,1916.713765,0.5350595440339238,0.16666666666666666,0.35493355988742614,opposition,negative,2019
İYİ Parti,946.9658800000001,0.4485156537667219,0.0,0.2824492804133779,opposition,negative,2019
Adalet ve Kalkınma Partisi,733.19031,0.5899930248567189,0.0,0.4344428193735864,opposition,negative,2019
Milliyetçi Hareket Partisi,553.7684049999999,0.596116457138526,0.1388888888888889,0.4403566102601211,opposition,negative,2019
Türkiye İşçi Partisi,64.72417999999999,0.4626120150193689,0.0,0.1967524376475817,opposition,negative,2019
Bağımsız,31.60341,0.5240549348441024,0.08333333333333333,0.33480155806970185,opposition,negative,2019
Demokrat Parti,30.742714999999997,0.5572087975535277,0.3055555555555555,0.3309734753734023,opposition,negative,2019
Büyük Birlik Partisi,25.011515000000003,0.438758979196374,0.0,0.25679293646697277,opposition,negative,2019
Saadet Partisi,4.39599,0.2384435660175307,0.0,0.0285999582000223,opposition,negative,2019
Cumhuriyet Halk Partisi,2791.66908,0.585819849453722,0.05555555555555555,0.37390919502269343,opposition,negative,2020
Halkların Demokratik Partisi,2688.4838750000004,0.6137402290631179,0.05555555555555555,0.39655131516516184,opposition,negative,2020
İYİ Parti,1216.447395,0.5400316676035978,0.2222222222222222,0.31684546021994975,opposition,negative,2020
Adalet ve Kalkınma Partisi,1102.24763,0.6145727535375392,0.19444444444444442,0.39226354620384524,opposition,negative,2020
Milliyetçi Hareket Partisi,450.06244499999997,0.49278715132863393,0.08333333333333333,0.23432280833408947,opposition,negative,2020
Türkiye İşçi Partisi,42.201435000000004,0.6594533091228908,0.05555555555555555,0.42679001345186335,opposition,negative,2020
Bağımsız,27.130265,0.4681165574541605,0.0,0.22589714016411913,opposition,negative,2020
Büyük Birlik Partisi,20.81974,0.38852421236123047,0.0,0.11681711065804337,opposition,negative,2020
Saadet Partisi,8.336780000000001,0.31660954262558705,0.0,0.04763574386331476,opposition,negative,2020
Demokrat Parti,6.203390000000001,0.6025456405813602,0.1111111111111111,0.3803622214650204,opposition,negative,2020
Halkların Demokratik Partisi,2119.5451199999998,0.5219932411065564,0.0,0.1904373327752022,opposition,negative,2021
Cumhuriyet Halk Partisi,2082.5205999999994,0.518157437438874,0.3333333333333333,0.18455604738928189,opposition,negative,2021
İYİ Parti,1044.216775,0.39689079451068043,0.2222222222222222,0.07342000770347062,opposition,negative,2021
Adalet ve Kalkınma Partisi,799.4767999999999,0.6084391670744284,0.027777777777777776,0.4041744872346407,opposition,negative,2021
Milliyetçi Hareket Partisi,296.30852,0.6168660746131716,0.41666666666666663,0.4222788748996771,opposition,negative,2021
Büyük Birlik Partisi,27.367659999999997,0.4677487357871356,0.0,0.3771638712602578,opposition,negative,2021
Saadet Partisi,10.95868,0.2657196404516459,0.0,0.011209447172389267,opposition,negative,2021
Demokrat Parti,3.8499999999999996,0.4829623701382191,0.0,0.3884429492670721,opposition,negative,2021
Türkiye İşçi Partisi,3.3950000000000005,0.46804960290285386,0.0,0.38035481033054935,opposition,negative,2021
Bağımsız,1.80009,0.46804960290285386,0.0,0.38035481033054924,opposition,negative,2021
Halkların Demokratik Partisi,2098.3040300000002,0.6444854074517938,0.3333333333333333,0.45453244976338425,opposition,negative,2022
Cumhuriyet Halk Partisi,1911.6396750000004,0.5299007210672992,0.0,0.40157764594420303,opposition,negative,2022
İYİ Parti,1334.67997,0.524523478731949,0.08333333333333333,0.3970087036028006,opposition,negative,2022
Adalet ve Kalkınma Partisi,807.386165,0.5514043315025483,0.0,0.4083724512124903,opposition,negative,2022
Milliyetçi Hareket Partisi,296.59836500000006,0.48695105534047517,0.1111111111111111,0.355841669475237,opposition,negative,2022
Bağımsız,18.053630000000002,0.40316709393346756,0.0,0.24060363577174745,opposition,negative,2022
Büyük Birlik Partisi,7.295000000000001,0.4184129789115907,0.027777777777777776,0.18258640723674824,opposition,negative,2022
Demokrat Parti,4.375,0.40356206944322204,0.0,0.14181159954599248,opposition,negative,2022
Saadet Partisi,3.9958899999999997,0.4830997905383248,0.08333333333333333,0.219369098729272,opposition,negative,2022
Türkiye İşçi Partisi,3.8083899999999997,0.41124477996178477,0.0,0.14719764302500793,opposition,negative,2022
Halkların Demokratik Partisi,721.1718450000001,0.7135686679860174,0.5,0.49902403970464293,opposition,negative,2023
Cumhuriyet Halk Partisi,489.88053,0.541971925780307,0.0,0.3609586985390422,opposition,negative,2023
İYİ Parti,279.22109500000005,0.4698290585342523,0.0,0.3238048876490422,opposition,negative,2023
Adalet ve Kalkınma Partisi,175.10931499999998,0.6082515943381469,0.2,0.45233412761198244,opposition,negative,2023
Milliyetçi Hareket Partisi,121.388695,0.7014897834534147,0.1,0.5417286152990899,opposition,negative,2023
Türkiye İşçi Partisi,2.47509,0.3942758424038932,0.0,0.13325976453561814,opposition,negative,2023
