word,term_freq,doc_freq,doc_ratio,donem_span,party_span,already_stopword,category,recommendation
geçti,2181,1867,0.010336,7,16,False,content_or_borderline,keep_for_now
geldiği,2179,1945,0.010768,7,16,False,content_or_borderline,keep_for_now
nereden,2171,1858,0.010286,7,13,False,content_or_borderline,keep_for_now
insanin,2164,1764,0.009766,7,16,False,content_or_borderline,keep_for_now
mayis,2162,1504,0.008326,7,14,False,content_or_borderline,keep_for_now
köy,2160,1223,0.006771,7,10,False,content_or_borderline,keep_for_now
recep,2153,1784,0.009877,7,12,False,content_or_borderline,keep_for_now
rekabet,2150,1260,0.006976,7,11,False,content_or_borderline,keep_for_now
imar,2149,1008,0.00558,6,13,False,content_or_borderline,keep_for_now
kiymetli,2147,1587,0.008786,7,15,False,content_or_borderline,keep_for_now
adana,2142,1163,0.006439,7,13,False,content_or_borderline,keep_for_now
çiftçi,2138,1306,0.00723,6,14,False,content_or_borderline,keep_for_now
sanki,2136,1816,0.010054,7,16,False,content_or_borderline,keep_for_now
doğrultusunda,2135,1767,0.009782,7,14,False,content_or_borderline,keep_for_now
verecek,2134,1872,0.010364,7,14,False,content_or_borderline,keep_for_now
geçmişte,2133,1816,0.010054,7,15,False,content_or_borderline,keep_for_now
takdirde,2132,1701,0.009417,7,15,False,content_or_borderline,keep_for_now
özgür,2129,1644,0.009102,7,14,False,content_or_borderline,keep_for_now
hizmetleri,2126,1478,0.008183,6,13,False,content_or_borderline,keep_for_now
olumsuz,2124,1714,0.009489,7,15,False,content_or_borderline,keep_for_now
sormak,2124,1829,0.010126,6,15,False,content_or_borderline,keep_for_now
yapilmiştir,2123,1621,0.008974,7,16,False,content_or_borderline,keep_for_now
siyasal,2123,1395,0.007723,7,13,False,content_or_borderline,keep_for_now
diyen,2121,1762,0.009755,7,16,False,content_or_borderline,keep_for_now
söyledim,2119,1816,0.010054,7,14,False,content_or_borderline,keep_for_now
politika,2112,1397,0.007734,7,14,False,content_or_borderline,keep_for_now
ülkeler,2112,1470,0.008138,7,15,False,content_or_borderline,keep_for_now
önergesi,2111,1630,0.009024,7,14,False,content_or_borderline,keep_for_now
düşen,2110,1737,0.009616,7,16,False,content_or_borderline,keep_for_now
kayit,2109,1159,0.006416,6,14,False,content_or_borderline,keep_for_now
alt,2109,1404,0.007773,7,13,False,content_or_borderline,keep_for_now
van,2102,1007,0.005575,7,11,False,content_or_borderline,keep_for_now
senin,2102,1798,0.009954,7,11,False,content_or_borderline,keep_for_now
ton,2102,981,0.005431,6,13,False,content_or_borderline,keep_for_now
milleti,2099,1621,0.008974,7,15,False,content_or_borderline,keep_for_now
istiyor,2097,1607,0.008897,7,15,False,content_or_borderline,keep_for_now
yalnizca,2097,1456,0.008061,7,13,False,content_or_borderline,keep_for_now
yürürlüğe,2095,1469,0.008133,6,12,False,content_or_borderline,keep_for_now
inşa,2092,1593,0.008819,7,13,False,content_or_borderline,keep_for_now
diyerek,2091,1820,0.010076,7,16,False,content_or_borderline,keep_for_now
kesin,2091,1058,0.005857,6,14,False,content_or_borderline,keep_for_now
konuya,2090,1861,0.010303,7,16,False,content_or_borderline,keep_for_now
antalya,2086,1244,0.006887,7,12,False,content_or_borderline,keep_for_now
başbakanin,2082,1532,0.008481,7,11,False,content_or_borderline,keep_for_now
açidan,2078,1630,0.009024,7,15,False,content_or_borderline,keep_for_now
dedim,2077,1649,0.009129,7,15,False,content_or_borderline,keep_for_now
kurumlar,2076,1478,0.008183,7,14,False,content_or_borderline,keep_for_now
beni,2076,1829,0.010126,7,14,False,content_or_borderline,keep_for_now
çikmiş,2075,1759,0.009738,7,14,False,content_or_borderline,keep_for_now
hedef,2074,1642,0.00909,7,16,False,content_or_borderline,keep_for_now
sonuna,2074,1799,0.00996,7,14,False,content_or_borderline,keep_for_now
hükümet,2065,1254,0.006942,7,8,True,existing_stopword,already_present
rakam,2065,1551,0.008587,7,15,False,content_or_borderline,keep_for_now
kültürel,2065,1351,0.007479,7,14,False,content_or_borderline,keep_for_now
süreç,2064,1642,0.00909,7,16,False,content_or_borderline,keep_for_now
milletvekillerinin,2064,1687,0.00934,7,15,False,content_or_borderline,keep_for_now
dişişleri,2063,1213,0.006715,7,15,False,content_or_borderline,keep_for_now
payi,2061,1369,0.007579,6,14,False,content_or_borderline,keep_for_now
belirtmek,2060,1704,0.009434,7,12,False,content_or_borderline,keep_for_now
birleşmiş,2060,1115,0.006173,7,14,False,content_or_borderline,keep_for_now
vergisi,2056,940,0.005204,6,14,False,content_or_borderline,keep_for_now
yönetimi,2053,1489,0.008243,7,14,False,content_or_borderline,keep_for_now
adli,2049,1232,0.006821,7,13,False,content_or_borderline,keep_for_now
gerekse,2049,1688,0.009345,7,11,False,content_or_borderline,keep_for_now
çalişiyor,2048,1669,0.00924,7,12,False,content_or_borderline,keep_for_now
önemlidir,2046,1630,0.009024,7,14,False,content_or_borderline,keep_for_now
alarak,2046,1845,0.010214,7,14,False,content_or_borderline,keep_for_now
yazili,2046,1579,0.008742,7,13,False,content_or_borderline,keep_for_now
şubat,2043,1510,0.00836,7,16,False,content_or_borderline,keep_for_now
verdik,2041,1652,0.009146,7,14,False,content_or_borderline,keep_for_now
hukukun,2039,1479,0.008188,7,14,False,content_or_borderline,keep_for_now
gaz,2038,1131,0.006261,7,13,False,content_or_borderline,keep_for_now
sayiştay,2038,873,0.004833,6,11,False,content_or_borderline,keep_for_now
işe,2037,1605,0.008886,7,17,False,content_or_borderline,keep_for_now
korunmasi,2036,1444,0.007994,7,12,False,content_or_borderline,keep_for_now
süreçte,2028,1707,0.00945,7,15,False,content_or_borderline,keep_for_now
şehir,2024,1318,0.007297,7,15,False,content_or_borderline,keep_for_now
yarginin,2024,1240,0.006865,6,13,False,content_or_borderline,keep_for_now
vatandaşlarimiz,2023,1558,0.008625,7,15,False,content_or_borderline,keep_for_now
diyorlar,2022,1559,0.008631,7,14,False,content_or_borderline,keep_for_now
geniş,2020,1620,0.008969,7,15,False,content_or_borderline,keep_for_now
kimsenin,2020,1755,0.009716,7,14,False,content_or_borderline,keep_for_now
durumunda,2017,1694,0.009378,7,16,False,content_or_borderline,keep_for_now
kurul,2017,1441,0.007978,7,11,True,existing_stopword,already_present
kürsüden,2007,1818,0.010065,7,17,False,content_or_borderline,keep_for_now
bakanliğina,2007,1519,0.00841,6,16,False,content_or_borderline,keep_for_now
teknoloji,2004,1213,0.006715,7,11,False,content_or_borderline,keep_for_now
okul,1998,1255,0.006948,7,15,False,content_or_borderline,keep_for_now
sesleri,1998,1792,0.009921,7,14,True,existing_stopword,already_present
bankasi,1995,1230,0.00681,6,15,False,content_or_borderline,keep_for_now
verilmiş,1992,1738,0.009622,6,15,False,content_or_borderline,keep_for_now
çerçevede,1990,1491,0.008254,7,13,False,content_or_borderline,keep_for_now
dediniz,1985,1477,0.008177,7,13,False,content_or_borderline,keep_for_now
maaş,1984,1361,0.007535,6,16,False,content_or_borderline,keep_for_now
kat,1980,1211,0.006704,6,14,False,content_or_borderline,keep_for_now
imza,1978,1578,0.008736,7,14,False,content_or_borderline,keep_for_now
kanunla,1978,1529,0.008465,6,13,False,content_or_borderline,keep_for_now
usul,1976,1598,0.008847,7,11,False,content_or_borderline,keep_for_now
ölçüde,1975,1556,0.008614,7,12,False,content_or_borderline,keep_for_now
mahkum,1975,1633,0.009041,6,16,False,content_or_borderline,keep_for_now
altini,1974,1643,0.009096,7,17,False,content_or_borderline,keep_for_now
ülkelerin,1971,1432,0.007928,7,14,False,content_or_borderline,keep_for_now
kirk,1969,1494,0.008271,7,15,False,content_or_borderline,keep_for_now
sebep,1968,1590,0.008803,7,15,False,content_or_borderline,keep_for_now
böylece,1967,1569,0.008686,7,15,False,content_or_borderline,keep_for_now
desteği,1962,1384,0.007662,6,14,False,content_or_borderline,keep_for_now
oraninda,1961,1374,0.007607,7,15,False,content_or_borderline,keep_for_now
özelleştirme,1960,1012,0.005603,6,13,False,content_or_borderline,keep_for_now
ettiniz,1958,1555,0.008609,7,15,False,content_or_borderline,keep_for_now
sizden,1956,1693,0.009373,7,14,False,content_or_borderline,keep_for_now
başkanimiz,1956,1653,0.009151,7,16,False,content_or_borderline,keep_for_now
olma,1955,1664,0.009212,7,15,False,content_or_borderline,keep_for_now
vakif,1951,807,0.004468,6,13,False,content_or_borderline,keep_for_now
zam,1950,1045,0.005785,6,17,False,content_or_borderline,keep_for_now
üretimi,1943,1389,0.00769,6,14,False,content_or_borderline,keep_for_now
duruma,1942,1689,0.009351,7,13,False,content_or_borderline,keep_for_now
güven,1941,1373,0.007601,7,16,False,content_or_borderline,keep_for_now
yapalim,1936,1585,0.008775,7,16,False,content_or_borderline,keep_for_now
et,1935,1178,0.006522,7,13,False,content_or_borderline,keep_for_now
dişina,1934,1531,0.008476,7,12,False,content_or_borderline,keep_for_now
gece,1933,1578,0.008736,7,16,False,content_or_borderline,keep_for_now
konularda,1932,1635,0.009052,7,12,False,content_or_borderline,keep_for_now
mahkemesinin,1932,1254,0.006942,7,12,False,content_or_borderline,keep_for_now
içi,1932,1369,0.007579,7,12,False,content_or_borderline,keep_for_now
kendilerine,1931,1709,0.009461,7,16,False,content_or_borderline,keep_for_now
dayali,1925,1488,0.008238,7,13,False,content_or_borderline,keep_for_now
neler,1925,1568,0.008681,7,13,False,content_or_borderline,keep_for_now
milletimize,1925,1695,0.009384,7,14,False,content_or_borderline,keep_for_now
şudur,1919,1691,0.009362,7,16,False,content_or_borderline,keep_for_now
üzerindeki,1915,1608,0.008902,7,14,False,content_or_borderline,keep_for_now
yaparken,1913,1717,0.009506,7,14,False,content_or_borderline,keep_for_now
laf,1913,1677,0.009284,7,14,True,existing_stopword,already_present
bakalim,1912,1603,0.008875,7,13,False,content_or_borderline,keep_for_now
sana,1908,1628,0.009013,7,12,False,content_or_borderline,keep_for_now
eş,1907,1372,0.007596,7,12,False,content_or_borderline,keep_for_now
