word,term_freq,doc_freq,doc_ratio,donem_span,party_span,already_stopword,category,recommendation,priority
arasinda,10000,6851,0.037929,7,17,False,high_frequency_generic,review_first,2
ciddi,9981,6106,0.033804,7,17,False,high_frequency_generic,review_first,2
vergi,9969,3131,0.017334,7,17,False,high_frequency_generic,review_first,2
hangi,9957,6530,0.036151,7,15,False,high_frequency_generic,review_first,2
temel,9879,5992,0.033173,7,17,False,high_frequency_generic,review_first,2
üç,9852,6890,0.038144,7,17,False,high_frequency_generic,review_first,2
bunlarin,9814,7117,0.039401,7,16,False,high_frequency_generic,review_first,2
zaten,9796,7372,0.040813,7,17,False,cross_party_generic,review_first,2
ülke,9675,6089,0.03371,7,17,False,high_frequency_generic,review_first,2
lira,9610,4195,0.023224,7,16,False,high_frequency_generic,review_first,2
yüksek,9563,5724,0.031689,7,17,False,high_frequency_generic,review_first,2
şunu,9560,7521,0.041638,7,17,False,cross_party_generic,review_first,2
ilişkin,9536,5783,0.032016,7,17,False,high_frequency_generic,review_first,2
üzerine,9535,7378,0.040846,7,17,False,cross_party_generic,review_first,2
benim,9410,7224,0.039994,7,17,False,high_frequency_generic,review_first,2
öyle,9331,7400,0.040968,7,15,False,cross_party_generic,review_first,2
geçen,9297,7026,0.038897,7,17,False,high_frequency_generic,review_first,2
açik,9219,6446,0.035686,7,17,False,high_frequency_generic,review_first,2
alan,9212,6337,0.035083,7,16,False,high_frequency_generic,review_first,2
almiş,9177,8219,0.045502,7,17,False,cross_party_generic,review_first,2
tekrar,9169,6912,0.038266,7,17,False,high_frequency_generic,review_first,2
gelen,9158,7029,0.038914,7,17,False,high_frequency_generic,review_first,2
bundan,9128,7186,0.039783,7,17,False,high_frequency_generic,review_first,2
ayrica,9116,6364,0.035232,7,17,False,high_frequency_generic,review_first,2
buradan,9104,7126,0.039451,7,17,False,high_frequency_generic,review_first,2
çalişma,9093,5687,0.031484,7,17,False,high_frequency_generic,review_first,2
hukuk,9078,4944,0.027371,7,17,False,high_frequency_generic,review_first,2
onu,9070,7490,0.041466,7,16,False,cross_party_generic,review_first,2
rağmen,9053,6404,0.035454,7,17,False,high_frequency_generic,review_first,2
yönelik,8853,5466,0.030261,7,17,False,high_frequency_generic,review_first,2
güvenlik,8822,4536,0.025112,7,17,False,high_frequency_generic,review_first,2
yi,8792,6325,0.035017,7,17,False,high_frequency_generic,review_first,2
sahip,8790,6040,0.033439,7,16,False,high_frequency_generic,review_first,2
gereken,8749,6290,0.034823,7,17,False,high_frequency_generic,review_first,2
bakani,8741,6995,0.038726,7,16,False,high_frequency_generic,review_first,2
beş,8719,5977,0.03309,7,17,False,high_frequency_generic,review_first,2
uluslararasi,8671,4635,0.02566,7,17,False,high_frequency_generic,review_first,2
mu,8656,6385,0.035349,7,17,False,high_frequency_generic,review_first,2
hep,8591,6382,0.035332,7,17,False,high_frequency_generic,review_first,2
tam,8577,6255,0.034629,7,17,False,high_frequency_generic,review_first,2
açisindan,8528,5334,0.02953,7,17,False,high_frequency_generic,review_first,2
olacak,8477,6046,0.033472,7,16,False,high_frequency_generic,review_first,2
madde,8456,4729,0.026181,7,16,False,high_frequency_generic,review_first,2
grup,8416,6219,0.03443,7,16,False,high_frequency_generic,review_first,2
bize,8376,6427,0.035581,7,17,False,high_frequency_generic,review_first,2
peki,8340,5610,0.031058,7,15,False,high_frequency_generic,review_first,2
dünya,8336,5177,0.028661,7,17,False,high_frequency_generic,review_first,2
az,8233,6089,0.03371,7,16,False,high_frequency_generic,review_first,2
kişi,8180,5333,0.029525,7,17,False,high_frequency_generic,review_first,2
tane,8172,5235,0.028982,7,15,False,high_frequency_generic,review_first,2
cevap,8170,6270,0.034712,7,17,False,high_frequency_generic,review_first,2
olur,8102,5916,0.032752,7,16,False,high_frequency_generic,review_first,2
ülkenin,8094,5564,0.030803,7,17,False,high_frequency_generic,review_first,2
allah,8063,5977,0.03309,7,17,False,high_frequency_generic,review_first,2
hakkinda,8031,5726,0.0317,7,17,False,high_frequency_generic,review_first,2
mümkün,8006,5872,0.032509,7,17,False,high_frequency_generic,review_first,2
yanliş,7903,5927,0.032813,7,17,False,high_frequency_generic,review_first,2
gelir,7856,4503,0.02493,7,17,False,high_frequency_generic,review_first,2
hükumet,7831,4889,0.027067,7,15,False,high_frequency_generic,review_first,2
hepinizi,7785,7277,0.040287,7,16,False,cross_party_generic,review_first,2
hak,7701,5174,0.028644,7,17,False,high_frequency_generic,review_first,2
hizmet,7692,4802,0.026585,7,16,False,high_frequency_generic,review_first,2
