term,year,party,position
27,2019,Cumhuriyet Halk Partisi,-1.3191053047778087
27,2019,Demokrat Parti,-0.8794154269782353
27,2019,Halkların Demokratik Partisi,-2.143414952666583
27,2019,Milliyetçi Hareket Partisi,0.5106991703424546
27,2019,Saadet Partisi,-0.035362995750321764
27,2019,Türkiye İşçi Partisi,-1.3916831524658266
27,2019,İYİ Parti,-0.7181691949899413
27,2020,Adalet ve Kalkınma Partisi,1.4552290207964576
27,2020,Bağımsız,0.3081372446323407
27,2020,Büyük Birlik Partisi,2.463745633262319
27,2020,Cumhuriyet Halk Partisi,-1.2664559054972906
27,2020,Demokrat Parti,-0.5291763458134716
27,2020,Halkların Demokratik Partisi,-1.864763287703883
27,2020,Milliyetçi Hareket Partisi,0.8752837682989615
27,2020,Saadet Partisi,-1.0607604358085445
27,2020,Türkiye İşçi Partisi,-0.2983555587258473
27,2020,İYİ Parti,-0.421359723096549
27,2021,Adalet ve Kalkınma Partisi,1.2009921315349026
27,2021,Bağımsız,2.867992701288065
27,2021,Büyük Birlik Partisi,-0.31777392718828296
27,2021,Cumhuriyet Halk Partisi,-1.0887325203766742
27,2021,Demokrat Parti,-0.7417414107389505
27,2021,Halkların Demokratik Partisi,-1.8995073668931615
27,2021,Milliyetçi Hareket Partisi,1.2685735194354377
27,2021,Saadet Partisi,-2.945186292817211
27,2021,İYİ Parti,-0.8560991944410159
27,2022,Adalet ve Kalkınma Partisi,0.917167380927139
27,2022,Bağımsız,-1.7471033412464414
27,2022,Büyük Birlik Partisi,1.8957950529246927
27,2022,Cumhuriyet Halk Partisi,-1.0752075163999582
27,2022,Demokrat Parti,0.7678962976450361
27,2022,Halkların Demokratik Partisi,-2.031302889027195
27,2022,Milliyetçi Hareket Partisi,1.0789616783561418
27,2022,Saadet Partisi,1.7879892876067371
27,2022,Türkiye İşçi Partisi,0.586134180030091
27,2022,İYİ Parti,-0.5178258413163697
27,2023,Adalet ve Kalkınma Partisi,0.626462086790319
27,2023,Cumhuriyet Halk Partisi,-1.7287202833945565
27,2023,Demokrat Parti,-0.12766455650978903
27,2023,Halkların Demokratik Partisi,-1.947914982455417
27,2023,Milliyetçi Hareket Partisi,0.2284314662253704
27,2023,İYİ Parti,-0.5231600464318547
28,2023,Adalet ve Kalkınma Partisi,0.8917795271007467
28,2023,Bağımsız,0.9953535347629727
28,2023,Cumhuriyet Halk Partisi,-0.6043934309965481
28,2023,DEM Parti,-1.3658868545891727
28,2023,Demokratik Sol Parti,2.009350725990668
28,2023,Halkların Eşitlik ve Demokrasi Partisi,-1.0561600186250397
28,2023,Milliyetçi Hareket Partisi,1.763542293409739
28,2023,Saadet Partisi,0.18576408996163812
28,2023,Türkiye İşçi Partisi,0.6400234878958431
28,2023,YENİ YOL Partisi,-0.9943892934976735
28,2023,Yeniden Refah Partisi,1.4299437456510855
28,2023,İYİ Parti,-0.8329757734418154
28,2024,Adalet ve Kalkınma Partisi,1.2924740585546235
28,2024,Bağımsız,0.8518468308059428
28,2024,Cumhuriyet Halk Partisi,-1.1409947686991366
28,2024,DEM Parti,-2.1494343175105914
28,2024,Demokratik Sol Parti,0.3200261751849825
28,2024,Halkların Eşitlik ve Demokrasi Partisi,-1.5734272737210577
28,2024,Milliyetçi Hareket Partisi,2.016311549678629
28,2024,Saadet Partisi,-0.4944064415450432
28,2024,Türkiye İşçi Partisi,-0.12766455650978903
28,2024,YENİ YOL Partisi,-0.20609993297130527
28,2024,Yeniden Refah Partisi,0.18065288555917036
28,2024,İYİ Parti,-1.2411888368713022
28,2025,Adalet ve Kalkınma Partisi,1.8647397783993136
28,2025,Bağımsız,0.10177075166374384
28,2025,Cumhuriyet Halk Partisi,-1.1211295868846314
28,2025,DEM Parti,-0.9703263244872802
28,2025,Demokratik Sol Parti,-0.334843940207584
28,2025,Halkların Eşitlik ve Demokrasi Partisi,-0.9504548868867764
28,2025,Milliyetçi Hareket Partisi,1.8401967219075164
28,2025,Saadet Partisi,2.6457632908706303
28,2025,Türkiye İşçi Partisi,1.4342913488147802
28,2025,YENİ YOL Partisi,-0.6074560292019908
28,2025,Yeniden Refah Partisi,-0.12059372332218432
28,2025,İYİ Parti,-1.1077801747301925
28,2026,Adalet ve Kalkınma Partisi,2.003571893877271
28,2026,Bağımsız,-0.12766455650978903
28,2026,Cumhuriyet Halk Partisi,-1.5360733434655907
28,2026,DEM Parti,1.380699851888217
28,2026,Demokratik Sol Parti,-0.5988050640708173
28,2026,Halkların Eşitlik ve Demokrasi Partisi,-1.426887848899796
28,2026,Milliyetçi Hareket Partisi,1.9338723613950857
28,2026,YENİ YOL Partisi,-1.3296883230418022
28,2026,Yeniden Refah Partisi,0.2071613519472258
28,2026,İYİ Parti,-0.8925414960354006
