party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer,year
Milliyetçi Hareket Partisi,1766.5898749999997,0.5106436408232804,0.0,0.34165741706262104,opposition,positive,2025
Halkların Eşitlik ve Demokrasi Partisi,1601.0009249999998,0.48973891425641314,0.19999999999999998,0.3090585189794828,opposition,positive,2025
YENİ YOL Partisi,1590.7922099999998,0.5443962641768908,0.0,0.38174521737238526,opposition,positive,2025
İYİ Parti,1492.3214850000002,0.5075727516411436,0.0,0.3587640769197029,opposition,positive,2025
DEM Parti,103.38883000000001,0.3737975403500558,0.09090909090909091,0.04314945861388115,opposition,positive,2025
Demokratik Sol Parti,47.765040000000006,0.3078344432893529,0.03636363636363636,0.010605123753472665,opposition,positive,2025
Yeniden Refah Partisi,42.563120000000005,0.37313420616671944,0.0,0.046403632117572986,opposition,positive,2025
Saadet Partisi,20.1571,0.3871097059434143,0.09090909090909091,0.04475570914581781,opposition,positive,2025
Bağımsız,13.166789999999999,0.5438754429879749,0.07272727272727272,0.37755337091178875,opposition,positive,2025
Türkiye İşçi Partisi,5.7124999999999995,0.5455381523388884,0.2909090909090909,0.3136320980606852,opposition,positive,2025
Adalet ve Kalkınma Partisi,357.45950999999997,0.5174654910575477,0.2222222222222222,0.444405889943075,opposition,positive,2026
Cumhuriyet Halk Partisi,338.37576500000006,0.47879656215587435,0.0,0.31079522650560926,opposition,positive,2026
YENİ YOL Partisi,311.93661999999995,0.5192478296099269,0.19444444444444442,0.38003763845514366,opposition,positive,2026
Halkların Eşitlik ve Demokrasi Partisi,303.75609999999995,0.4493739324354042,0.2222222222222222,0.23388520211585836,opposition,positive,2026
İYİ Parti,286.76938,0.5819702329391986,0.2777777777777778,0.4317816667914401,opposition,positive,2026
Milliyetçi Hareket Partisi,125.54323500000001,0.4506063755152928,0.0,0.32675507945305093,opposition,positive,2026
Yeniden Refah Partisi,16.59518,0.37677465885990047,0.0,0.2553818169799468,opposition,positive,2026
DEM Parti,9.81073,0.23109394544728326,0.0,0.02316030797818766,opposition,positive,2026
Demokratik Sol Parti,2.47509,0.47518767104792403,0.0,0.38287257870557884,opposition,positive,2026
Bağımsız,1.13339,0.23342139882566582,0.0,0.035026621219368316,opposition,positive,2026
Cumhuriyet Halk Partisi,1895.6014750000002,0.5960802799496794,0.01818181818181818,0.3756197809775774,opposition,negative,2023
Halkların Eşitlik ve Demokrasi Partisi,1696.5701900000001,0.5931465010312933,0.10909090909090909,0.36871573755515225,opposition,negative,2023
İYİ Parti,1010.359305,0.7019097499827448,0.16363636363636364,0.4015927016595962,opposition,negative,2023
Adalet ve Kalkınma Partisi,997.6897250000001,0.6234144521634131,0.18181818181818182,0.3680423971506526,opposition,negative,2023
YENİ YOL Partisi,890.966995,0.5833820307291152,0.01818181818181818,0.36721450029204705,opposition,negative,2023
Milliyetçi Hareket Partisi,256.06181,0.4895454571668203,0.18181818181818182,0.16883925441710007,opposition,negative,2023
Bağımsız,85.073675,0.5539364025350549,0.0,0.30381535565092005,opposition,negative,2023
DEM Parti,26.28173,0.5848473582083098,0.14545454545454545,0.336031106085438,opposition,negative,2023
Türkiye İşçi Partisi,20.182655,0.3706601275857105,0.0,0.15154761060211366,opposition,negative,2023
Saadet Partisi,18.728749999999998,0.4335429674785336,0.0,0.13304888280609495,opposition,negative,2023
Yeniden Refah Partisi,12.7575,0.42072666866372493,0.0,0.12749776885242914,opposition,negative,2023
Demokratik Sol Parti,6.633769999999999,0.32373754267702926,0.0,0.026988121279544204,opposition,negative,2023
Halkların Eşitlik ve Demokrasi Partisi,3081.911705,0.6333774238004235,0.18181818181818182,0.35392787945299026,opposition,negative,2024
Cumhuriyet Halk Partisi,2805.581945,0.6763457827267697,0.0,0.37647857794122785,opposition,negative,2024
İYİ Parti,1674.8950699999998,0.6286940910526387,0.18181818181818182,0.3556477220480623,opposition,negative,2024
Adalet ve Kalkınma Partisi,1574.4916050000002,0.6301009319647083,0.21818181818181817,0.326354670808752,opposition,negative,2024
YENİ YOL Partisi,1160.8323649999998,0.684606538444401,0.05454545454545454,0.3799346877237184,opposition,negative,2024
Milliyetçi Hareket Partisi,370.282035,0.47200037099532277,0.18181818181818182,0.14898298442843727,opposition,negative,2024
DEM Parti,93.32660999999999,0.5952917793714567,0.0,0.34900853556189226,opposition,negative,2024
Saadet Partisi,58.796744999999994,0.5492473898141359,0.0,0.30462928749254703,opposition,negative,2024
Bağımsız,41.732805,0.3631744047285324,0.0,0.044766697750213,opposition,negative,2024
Demokratik Sol Parti,29.3769,0.3149037724458712,0.0,0.02063403310489472,opposition,negative,2024
Yeniden Refah Partisi,26.871959999999998,0.577163733494376,0.0,0.3390514895812254,opposition,negative,2024
Türkiye İşçi Partisi,11.246179999999999,0.3411950219397618,0.0,0.038318046995094134,opposition,negative,2024
Cumhuriyet Halk Partisi,3259.0724550000004,0.696968238163671,0.21818181818181817,0.39726904223887566,opposition,negative,2025
Halkların Eşitlik ve Demokrasi Partisi,2585.4748,0.6185016365536404,0.05454545454545454,0.3647118087234697,opposition,negative,2025
İYİ Parti,1829.6625450000001,0.6599682811220359,0.07272727272727272,0.3957114371705113,opposition,negative,2025
YENİ YOL Partisi,1694.9924749999998,0.6224688496934824,0.12727272727272726,0.3430312130551325,opposition,negative,2025
Adalet ve Kalkınma Partisi,851.9337999999999,0.6333849540974812,0.10909090909090909,0.360647922074605,opposition,negative,2025
Milliyetçi Hareket Partisi,332.70776500000005,0.40922609478566563,0.0,0.10143232670897409,opposition,negative,2025
DEM Parti,93.19490499999999,0.37377905049667254,0.0,0.07823522210314493,opposition,negative,2025
Demokratik Sol Parti,48.3307,0.6017460071540385,0.07272727272727272,0.3318199785152704,opposition,negative,2025
Yeniden Refah Partisi,40.11415,0.5199754732611505,0.03636363636363636,0.22542873856950896,opposition,negative,2025
Saadet Partisi,9.405990000000001,0.4897450758299229,0.0,0.25008195222273644,opposition,negative,2025
Türkiye İşçi Partisi,8.67018,0.3372891598877574,0.0,0.04186451228043628,opposition,negative,2025
Bağımsız,7.19339,0.49294076713904333,0.0,0.25142041466804393,opposition,negative,2025
Halkların Eşitlik ve Demokrasi Partisi,529.7686950000001,0.6478745804911631,0.3571428571428571,0.44095001687770724,opposition,negative,2026
Cumhuriyet Halk Partisi,475.0284,0.5622978922362675,0.0,0.42517394903231076,opposition,negative,2026
YENİ YOL Partisi,304.54319,0.5552025004674459,0.25,0.3704295781597802,opposition,negative,2026
İYİ Parti,236.444215,0.5497548985390439,0.0,0.41682184232360353,opposition,negative,2026
Adalet ve Kalkınma Partisi,160.6869,0.45690014744506835,0.25,0.16123585353526293,opposition,negative,2026
Milliyetçi Hareket Partisi,27.79164,0.5424968636171277,0.07142857142857142,0.36331092933909986,opposition,negative,2026
Yeniden Refah Partisi,13.43875,0.2963621972844093,0.0,0.04950039479120081,opposition,negative,2026
Demokratik Sol Parti,9.22635,0.5209243597068105,0.0,0.39002686801889874,opposition,negative,2026
Bağımsız,0.675,0.31844118142208694,0.0,0.03561736040953344,opposition,negative,2026
