party,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,party_bloc,layer,year
Demokrat Parti,1.85,0.1665236830841314,0.0,0.04397102581822635,opposition,positive,2008
Adalet ve Kalkınma Partisi,1711.1422699999998,0.5643742137986367,0.0,0.5152528676417283,opposition,positive,2009
Cumhuriyet Halk Partisi,864.5649649999999,0.6612379963669507,0.5,0.5945021140683517,opposition,positive,2009
Milliyetçi Hareket Partisi,719.3399400000001,0.6628421064836316,0.5,0.5411254753609979,opposition,positive,2009
Bağımsız,518.3936,0.43209898875992936,0.0,0.26292983925035446,opposition,positive,2009
Demokratik Sol Parti,1.35,0.34527611242452183,0.0,0.13832150339825378,opposition,positive,2009
Adalet ve Kalkınma Partisi,2762.4224300000005,0.44429798755484035,0.7000000000000001,0.4641238090588419,opposition,positive,2010
Bağımsız,2017.2598750000002,0.3207688224445839,0.0,0.4099776161986658,opposition,positive,2010
Cumhuriyet Halk Partisi,1880.67196,0.4025946077644951,0.0,0.5418173353497454,opposition,positive,2010
Milliyetçi Hareket Partisi,1741.1542900000002,0.4099769817091781,0.30000000000000004,0.5456725209817569,opposition,positive,2010
Demokratik Sol Parti,13.525279999999999,0.3092929696057929,0.0,0.15510073252792234,opposition,positive,2010
Demokrat Parti,1.175,0.1472677337722861,0.0,0.03356608124265814,opposition,positive,2010
Cumhuriyet Halk Partisi,938.9735,0.5722086105973556,0.6666666666666666,0.6087066444832504,opposition,positive,2011
Milliyetçi Hareket Partisi,586.616675,0.4951779835163014,0.5,0.272185910424641,opposition,positive,2011
Adalet ve Kalkınma Partisi,498.50588999999997,0.4427210143637889,0.0,0.5255973300527889,opposition,positive,2011
Bağımsız,444.44348499999995,0.4432768483694798,0.0,0.5263218981593385,opposition,positive,2011
Demokratik Sol Parti,2.35,0.2432073644547536,0.0,0.04608424120653059,opposition,positive,2011
Milliyetçi Hareket Partisi,434.43687500000004,0.4187272730468772,0.16666666666666666,0.49996491808946153,opposition,negative,2007
Adalet ve Kalkınma Partisi,308.83037499999995,0.4719351268513598,0.0,0.4885386974246266,opposition,negative,2007
Bağımsız,284.94759,0.5422693213271883,0.5,0.500035079639497,opposition,negative,2007
Cumhuriyet Halk Partisi,257.96278,0.4715163447749984,0.3333333333333333,0.5008821630563833,opposition,negative,2007
Demokratik Sol Parti,4.195,0.25501287045781784,0.0,0.10221056530676133,opposition,negative,2007
Cumhuriyet Halk Partisi,1387.5482700000002,0.5187998487807652,0.1,0.4716411371878466,opposition,negative,2008
Milliyetçi Hareket Partisi,1216.416905,0.6549209493161453,0.4,0.5578251553205046,opposition,negative,2008
Bağımsız,1109.8047199999999,0.5771166142660923,0.0,0.4697803002339779,opposition,negative,2008
Adalet ve Kalkınma Partisi,735.14418,0.5741189107364452,0.4,0.35127820753303357,opposition,negative,2008
Demokratik Sol Parti,22.009490000000003,0.4629509320335964,0.0,0.3460925851073996,opposition,negative,2008
Demokrat Parti,0.675,0.2697642970568042,0.0,0.050157220436740466,opposition,negative,2008
Milliyetçi Hareket Partisi,1547.364095,0.64616218037563,0.5,0.3548233215342029,opposition,negative,2009
Cumhuriyet Halk Partisi,1476.1040899999998,0.7727996381610539,0.6666666666666666,0.6017680079406915,opposition,negative,2009
Adalet ve Kalkınma Partisi,775.6942649999999,0.5494038188586866,0.0,0.491771142996169,opposition,negative,2009
Bağımsız,703.1622600000001,0.5515086801098514,0.0,0.4933672712535567,opposition,negative,2009
Demokratik Sol Parti,7.94474,0.43204453199258425,0.0,0.16347952069475974,opposition,negative,2009
Cumhuriyet Halk Partisi,1799.0849750000002,0.9136228994086496,0.8333333333333333,0.6288286046139641,opposition,negative,2010
Bağımsız,1689.7018849999997,0.6170003657384457,0.0,0.48553242987928114,opposition,negative,2010
Milliyetçi Hareket Partisi,1521.541405,0.5322796427929617,0.0,0.2749017262543783,opposition,negative,2010
Adalet ve Kalkınma Partisi,1126.2283049999999,0.619180576058343,0.0,0.48688159376535023,opposition,negative,2010
Demokratik Sol Parti,63.081559999999996,0.4990515661641199,0.0,0.2370826862291953,opposition,negative,2010
Cumhuriyet Halk Partisi,734.985145,0.05499277628016631,0.0,0.5244256435680509,opposition,negative,2011
Milliyetçi Hareket Partisi,604.7386149999999,0.05496122846219442,0.0,0.5220018387828113,opposition,negative,2011
Bağımsız,412.552865,0.05580888158258919,0.5,0.28367332018267244,opposition,negative,2011
Adalet ve Kalkınma Partisi,300.332395,0.05665521368407294,0.6666666666666666,0.6099317420520847,opposition,negative,2011
Demokratik Sol Parti,0.675,0.014786555801587989,0.0,0.0021312272163436694,opposition,negative,2011
