speaker,party,community,community_label,total_mentions,pos_to_plus,pos_to_minus,neg_to_plus,neg_to_minus,reach_plus,reach_minus,positive_bridge_balance,signed_reach_balance,gatekeeper_score,cross_pressure
Behiç Çelik,Milliyetçi Hareket Partisi,0,Neutral,997.0,0.8407944317722551,0.28250112915029724,0.0,1.0806667759616086,0.8407944317722551,1.3631679051119059,0.25149314100982334,0.3814921958146667,1.7667616531239143,0.0
Ali İhsan Köktürk,Cumhuriyet Halk Partisi,1,Pole +,1182.0,5.324559674556447,0.0,0.0,2.632597709127703,5.324559674556447,2.632597709127703,0.0,0.3308465048328563,1.7528122026177135,0.0
Cemil Çiçek,Adalet ve Kalkınma Partisi,0,Neutral,790.0,0.7491612575247688,0.754647384855934,0.44543980377321835,0.0,1.1946010612979872,0.754647384855934,0.4981759220645149,0.3871478702254642,1.7393112210225408,0.0
Bülent Arınç,Adalet ve Kalkınma Partisi,-1,Pole -,304.0,0.2663534069062267,2.598074563251124,5.110994022890788,0.0,5.377347429797014,2.598074563251124,0.09298659613305223,0.32576013723035635,1.7266079717172866,0.0
Yahya Doğan,Adalet ve Kalkınma Partisi,1,Pole +,52.0,8.074895753374102,0.0,0.0,3.5311231216187107,8.074895753374102,3.5311231216187107,0.0,0.3042493002422114,1.7262619163197088,0.0
İsa Gök,Cumhuriyet Halk Partisi,1,Pole +,978.0,3.5539167750085943,0.0,0.0,1.9147917187233285,3.5539167750085943,1.9147917187233285,0.0,0.3501360002216012,1.724491938703453,0.0
MHP GRUBU ADINA ŞENOL BAL,Milliyetçi Hareket Partisi,0,Neutral,85.0,3.2984976245456625,0.3613205500293903,0.2658904872488147,1.1982221469513685,3.5643881117944773,1.5595426969807589,0.0987263663645305,0.3043645113250795,1.7012941294569421,0.6586964436726633
Ali Uzunırmak,Milliyetçi Hareket Partisi,1,Pole +,338.0,2.082082296229432,0.6470820987127792,0.0,3.453786948549514,2.082082296229432,4.100869047262293,0.23709898153254408,0.33674570285666566,1.6995960093848068,0.0
Abdurrahman Arıcı,Adalet ve Kalkınma Partisi,0,Neutral,108.0,1.488122405277634,1.386631974750606,0.29463120078636795,2.932431896582508,1.7827536060640021,4.319063871333114,0.4823479821099138,0.2921676389658763,1.69138651261285,0.40197311557043974
Tansel Barış,Cumhuriyet Halk Partisi,1,Pole +,131.0,3.8461289776964325,0.0,0.0,1.9601440682669904,3.8461289776964325,1.9601440682669904,0.0,0.33759074924871313,1.682781922445554,0.0
Osman Coşkunoğlu,Cumhuriyet Halk Partisi,0,Neutral,123.0,0.7750897297714412,0.30575510842237447,0.0,1.0467362777108122,0.7750897297714412,1.3524913861331866,0.2828852924444106,0.36430560678180046,1.672658492832287,0.0
Ahmet Ersin,Bağımsız,1,Pole +,160.0,5.091019933740421,0.0,0.27131703073052327,2.4663308935715973,5.362336964470945,2.4663308935715973,0.0,0.3150383868595025,1.6639586008093856,0.4202565712562119
Ali Rıza Ertemür,Cumhuriyet Halk Partisi,0,Neutral,64.0,0.0,0.9387933788715588,0.6070378126414108,0.0,0.6070378126414108,0.9387933788715588,0.0,0.39269346845989306,1.6618717613764906,0.0
Nuri Uslu,Adalet ve Kalkınma Partisi,1,Pole +,43.0,1.2922571965886376,0.0,0.0,2.2039279678323163,1.2922571965886376,2.2039279678323163,0.0,0.36961920935130016,1.6566053286227251,0.0
Nesrin Baytok,Cumhuriyet Halk Partisi,-1,Pole -,109.0,0.0,1.8951180440718551,3.798672007628223,0.0,3.798672007628223,1.8951180440718551,0.0,0.33283946659978486,1.6526320192708874,0.0
Reşat Doğru,Milliyetçi Hareket Partisi,0,Neutral,386.0,2.181928460957929,2.1226561046578003,3.5088337995486345,0.0,5.690762260506563,2.1226561046578003,0.4931152058482233,0.27166804658123284,1.649513618921935,0.0
Musa Sıvacıoğlu,Adalet ve Kalkınma Partisi,1,Pole +,116.0,8.921547359910958,0.0,0.0,3.55662460387618,8.921547359910958,3.55662460387618,0.0,0.2850276958766733,1.6377854357110657,0.0
Tayfun İçli,Bağımsız,1,Pole +,1432.0,5.917645816068389,0.0,0.0,2.5198182682298045,5.917645816068389,2.5198182682298045,0.0,0.29864639929199177,1.5996358808621174,0.0
Haydar Kemal Kurt,Adalet ve Kalkınma Partisi,0,Neutral,134.0,0.30561200981127135,0.5994404520982185,1.5899251476967695,0.3137540913867583,1.8955371575080409,0.9131945434849769,0.33767325358003497,0.3251270111833725,1.5949470190656878,0.6400505782317922
Ahmet Duran Bulut,Milliyetçi Hareket Partisi,-1,Pole -,129.0,0.0,8.265220392982185,3.204307416710929,0.0,3.204307416710929,8.265220392982185,0.0,0.2793757048763187,1.5818394954306743,0.0
Necla Arat,Cumhuriyet Halk Partisi,-1,Pole -,89.0,0.0,1.7271867026018815,3.670612928828684,0.0,3.670612928828684,1.7271867026018815,0.0,0.3199797732810897,1.5718207451000976,0.0
Mustafa Demir,Adalet ve Kalkınma Partisi,-1,Pole -,86.0,0.0,2.519987752674232,6.179144654411714,0.0,6.179144654411714,2.519987752674232,0.0,0.2896826527587824,1.560429705201426,0.0
Halil Ünlütepe,Cumhuriyet Halk Partisi,0,Neutral,1093.0,0.2959387118351554,0.6169940483850607,0.2384219736508035,0.2652617550097027,0.5343606854859589,0.8822558033947634,0.32416265951460316,0.37720913832575215,1.559473452189888,1.2352182537706222
İbrahim Binici,Bağımsız,1,Pole +,148.0,3.781174488538119,0.0,0.0,1.7373874898389357,3.781174488538119,1.7373874898389357,0.0,0.3148261261414799,1.5534198767026943,0.0
Cevdet Yılmaz,Adalet ve Kalkınma Partisi,0,Neutral,410.0,0.27297448401644575,0.2756086472782788,0.0,0.0,0.27297448401644575,0.2756086472782788,0.49759912025474223,0.49759912025474223,1.538658350100047,0.0
Ali Osman Sali,Adalet ve Kalkınma Partisi,-1,Pole -,66.0,0.0,3.5687568418929803,10.008656921149816,0.0,10.008656921149816,3.5687568418929803,0.0,0.26284511203040417,1.532446201723171,0.0
Şahin Mengü,Cumhuriyet Halk Partisi,1,Pole +,776.0,3.805559164938815,0.3122068570120994,0.571798584950314,1.5756330959953666,4.377357749889129,1.8878399530074659,0.07581947475207991,0.3013216888324749,1.524763121209058,1.0655107145535663
