date,open,high,low,close,adjclose,volume,symbol,series,forex_buying,forex_selling,source
2003-11-19,1.4553655,1.458867,1.451864,1.4553655,1.4553655,,TCMB_USDTRY,usd_try,1.451864,1.458867,TCMB daily exchange-rate XML archive
2003-11-20,1.4735,1.477045,1.469955,1.4735,1.4735,,TCMB_USDTRY,usd_try,1.469955,1.477045,TCMB daily exchange-rate XML archive
2003-11-21,1.4682955,1.471828,1.464763,1.4682955,1.4682955,,TCMB_USDTRY,usd_try,1.464763,1.471828,TCMB daily exchange-rate XML archive
2003-11-28,1.4587945,1.462304,1.455285,1.4587945,1.4587945,,TCMB_USDTRY,usd_try,1.455285,1.462304,TCMB daily exchange-rate XML archive
2003-12-01,1.450679,1.454169,1.447189,1.450679,1.450679,,TCMB_USDTRY,usd_try,1.447189,1.454169,TCMB daily exchange-rate XML archive
2003-12-02,1.4541205000000001,1.457619,1.450622,1.4541205000000001,1.4541205000000001,,TCMB_USDTRY,usd_try,1.450622,1.457619,TCMB daily exchange-rate XML archive
2003-12-03,1.458651,1.46216,1.455142,1.458651,1.458651,,TCMB_USDTRY,usd_try,1.455142,1.46216,TCMB daily exchange-rate XML archive
2003-12-04,1.4516235000000002,1.455116,1.448131,1.4516235000000002,1.4516235000000002,,TCMB_USDTRY,usd_try,1.448131,1.455116,TCMB daily exchange-rate XML archive
2003-12-05,1.4491625,1.452649,1.445676,1.4491625,1.4491625,,TCMB_USDTRY,usd_try,1.445676,1.452649,TCMB daily exchange-rate XML archive
2003-12-08,1.4384535,1.441914,1.434993,1.4384535,1.4384535,,TCMB_USDTRY,usd_try,1.434993,1.441914,TCMB daily exchange-rate XML archive
2003-12-09,1.4300845,1.433525,1.426644,1.4300845,1.4300845,,TCMB_USDTRY,usd_try,1.426644,1.433525,TCMB daily exchange-rate XML archive
2003-12-10,1.4311889999999998,1.434632,1.427746,1.4311889999999998,1.4311889999999998,,TCMB_USDTRY,usd_try,1.427746,1.434632,TCMB daily exchange-rate XML archive
2003-12-11,1.4400165,1.443481,1.436552,1.4400165,1.4400165,,TCMB_USDTRY,usd_try,1.436552,1.443481,TCMB daily exchange-rate XML archive
2003-12-12,1.4351705,1.438623,1.431718,1.4351705,1.4351705,,TCMB_USDTRY,usd_try,1.431718,1.438623,TCMB daily exchange-rate XML archive
2003-12-15,1.4314355,1.434879,1.427992,1.4314355,1.4314355,,TCMB_USDTRY,usd_try,1.427992,1.434879,TCMB daily exchange-rate XML archive
2003-12-16,1.4224649999999999,1.425887,1.419043,1.4224649999999999,1.4224649999999999,,TCMB_USDTRY,usd_try,1.419043,1.425887,TCMB daily exchange-rate XML archive
