concept,weighted_degree,closeness_centrality,betweenness_centrality,eigenvector_centrality,concept_category,layer,year
Avrupa Birligi,372.2262999999999,0.3777102605443122,0.0,0.08286048963084408,democratic_reform,positive,2016
Reform,334.43425,0.4777333491700857,0.0,0.3981940362197226,democratic_reform,positive,2016
Faiz,152.336215,0.48196608329390156,0.14545454545454545,0.4018249582869308,macro_economy,positive,2016
Enflasyon,105.67976999999999,0.43329132451186186,0.18181818181818182,0.1692123797812575,macro_economy,positive,2016
Egemenlik,33.75821,0.6291180571798765,0.10909090909090909,0.42100678501471556,security_conflict,positive,2016
IMF,4.2,0.3532584019764305,0.0,0.2539260318362296,macro_economy,positive,2016
Vesayet,1.68387,0.2852031134018311,0.0,0.02842696223375588,constitutional_conflict,positive,2016
Ekonomi,2491.8900200000003,0.6424203094147735,0.2909090909090909,0.3931518791104122,macro_economy,positive,2017
Hukuk Devleti,2110.7716250000003,0.5115717673009349,0.18181818181818182,0.3251736512869223,democratic_reform,positive,2017
Anayasa,954.590695,0.4910441080896295,0.0,0.31803941946145986,constitutional_conflict,positive,2017
Demokrasi,870.30727,0.34037800945700103,0.0,0.06507604540845857,democratic_reform,positive,2017
Guvenlik,835.652845,0.6844248189526194,0.32727272727272727,0.4535227466233205,security_conflict,positive,2017
Reform,180.55019499999997,0.5146620538607033,0.07272727272727272,0.2372300044637113,democratic_reform,positive,2017
Avrupa Birligi,99.46145,0.5747349358194216,0.07272727272727272,0.38849500277949933,democratic_reform,positive,2017
Enflasyon,83.03507499999999,0.3352319340521469,0.0,0.03407517362032644,macro_economy,positive,2017
Faiz,70.286675,0.5076620361468076,0.18181818181818182,0.17546977615607573,macro_economy,positive,2017
Egemenlik,20.408649999999998,0.5597789116369787,0.0,0.37546426021899393,security_conflict,positive,2017
IMF,6.158390000000001,0.42173136566226216,0.0,0.15554571463535447,macro_economy,positive,2017
Vesayet,2.05,0.4224062321814014,0.0,0.15589024565797052,constitutional_conflict,positive,2017
Ekonomi,673.9695550000001,0.513877506310668,0.25,0.39498907316540166,macro_economy,positive,2018
Hukuk Devleti,577.4505800000001,0.5175730702712369,0.41666666666666663,0.4228273772340805,democratic_reform,positive,2018
Demokrasi,360.74024499999996,0.5480909861621578,0.08333333333333333,0.4655630133757837,democratic_reform,positive,2018
Anayasa,328.074735,0.4848408412616117,0.38888888888888884,0.3287511398729644,constitutional_conflict,positive,2018
Guvenlik,317.03867,0.35518191289728474,0.2222222222222222,0.07711347791542204,security_conflict,positive,2018
Reform,54.62995,0.2607466027244541,0.0,0.016948328446555652,democratic_reform,positive,2018
Faiz,49.741095,0.5440246416152906,0.0,0.46188730108557124,macro_economy,positive,2018
Avrupa Birligi,31.68188,0.36819642348997983,0.2222222222222222,0.09502514427370518,democratic_reform,positive,2018
Enflasyon,31.101375000000004,0.2658044605635703,0.0,0.020354564427609797,macro_economy,positive,2018
Egemenlik,15.07877,0.43919523165680263,0.0,0.3337015286078833,security_conflict,positive,2018
Guvenlik,298.565385,0.5399625639486025,0.10909090909090909,0.34294212878397845,security_conflict,negative,2015
Ekonomi,184.036745,0.6029493524755621,0.34545454545454546,0.4156335881890867,macro_economy,negative,2015
Hukuk Devleti,129.67937,0.5753923681470663,0.2727272727272727,0.4534195092054068,democratic_reform,negative,2015
Anayasa,45.830920000000006,0.42572353692986875,0.0,0.2517098508569553,constitutional_conflict,negative,2015
Demokrasi,38.131775000000005,0.4639749304903595,0.09090909090909091,0.27652329354781435,democratic_reform,negative,2015
Faiz,37.259029999999996,0.5154480265787481,0.18181818181818182,0.36776593070596053,macro_economy,negative,2015
