party,concept_slug,concept,concept_category,speech_count,mention_count,beme_positive_hits,beme_negative_hits,salience_weight,layer_weight,beme_score,layer
Halkların Demokratik Partisi,sovereignty,Egemenlik,security_conflict,7,10,11,0,13.85,8.42098,0.9166666666666666,positive
Milliyetçi Hareket Partisi,imf,IMF,macro_economy,8,11,10,0,14.5,8.15018,0.9090909090909091,positive
Halkların Demokratik Partisi,reform,Reform,democratic_reform,6,7,10,2,11.2,5.0875,0.6153846153846154,positive
Halkların Demokratik Partisi,interest,Faiz,macro_economy,5,7,6,0,9.100000000000001,4.83339,0.8571428571428571,positive
Bağımsız,imf,IMF,macro_economy,1,6,2,0,6.7,4.46689,0.6666666666666666,positive
Adalet ve Kalkınma Partisi,tutelage,Vesayet,constitutional_conflict,4,6,11,6,11.95,2.8262599999999996,0.2777777777777778,positive
Bağımsız,interest,Faiz,macro_economy,2,3,3,0,4.050000000000001,2.47509,0.75,positive
Halkların Demokratik Partisi,inflation,Enflasyon,macro_economy,2,3,2,0,3.7,1.85,0.6666666666666666,positive
Halkların Demokratik Partisi,imf,IMF,macro_economy,2,2,2,0,2.7,1.35,0.6666666666666666,positive
Bağımsız,sovereignty,Egemenlik,security_conflict,1,1,1,0,1.35,0.675,0.5,positive
Halkların Demokratik Partisi,tutelage,Vesayet,constitutional_conflict,1,1,2,1,2.05,0.5125,0.25,positive
Milliyetçi Hareket Partisi,tutelage,Vesayet,constitutional_conflict,1,1,2,1,2.05,0.5125,0.25,positive
Cumhuriyet Halk Partisi,law_state,Hukuk Devleti,democratic_reform,688,3368,233,1912,4118.75,2397.972425,-0.7823858341099721,negative
Cumhuriyet Halk Partisi,economy,Ekonomi,macro_economy,416,1998,187,1499,2588.1,1580.4682,-0.7777119146413752,negative
Milliyetçi Hareket Partisi,law_state,Hukuk Devleti,democratic_reform,386,2068,199,1260,2578.65,1474.79649,-0.7267123287671233,negative
Cumhuriyet Halk Partisi,security,Guvenlik,security_conflict,561,1562,137,1495,2133.2,1305.95543,-0.8315982853643601,negative
Milliyetçi Hareket Partisi,security,Guvenlik,security_conflict,405,1553,200,1280,2071.0,1143.50077,-0.7292370020256583,negative
Milliyetçi Hareket Partisi,economy,Ekonomi,macro_economy,349,1488,202,1192,1975.9,1078.60551,-0.7096774193548387,negative
Adalet ve Kalkınma Partisi,security,Guvenlik,security_conflict,365,1165,145,1089,1596.9,913.975875,-0.7643724696356275,negative
Adalet ve Kalkınma Partisi,law_state,Hukuk Devleti,democratic_reform,356,1168,83,858,1497.35,881.23579,-0.8227176220806794,negative
Cumhuriyet Halk Partisi,constitution,Anayasa,constitutional_conflict,249,962,35,479,1141.9,664.68334,-0.8621359223300971,negative
Adalet ve Kalkınma Partisi,economy,Ekonomi,macro_economy,220,871,128,755,1180.05,658.994405,-0.7092760180995475,negative
Halkların Demokratik Partisi,law_state,Hukuk Devleti,democratic_reform,212,952,69,532,1162.35,655.811825,-0.7691029900332226,negative
Cumhuriyet Halk Partisi,democracy,Demokrasi,democratic_reform,257,745,64,533,953.95,516.8284649999999,-0.7842809364548495,negative
Milliyetçi Hareket Partisi,constitution,Anayasa,constitutional_conflict,163,654,25,331,778.6,451.34414,-0.8571428571428571,negative
Halkların Demokratik Partisi,democracy,Demokrasi,democratic_reform,172,646,82,476,841.3000000000001,437.01493,-0.7048300536672629,negative
Halkların Demokratik Partisi,security,Guvenlik,security_conflict,189,550,42,423,712.75,399.44486,-0.8175965665236051,negative
Halkların Demokratik Partisi,economy,Ekonomi,macro_economy,112,448,47,441,618.8,396.082095,-0.8057259713701431,negative
Milliyetçi Hareket Partisi,democracy,Demokrasi,democratic_reform,124,476,41,360,616.35,382.4946,-0.7935323383084577,negative
Bağımsız,law_state,Hukuk Devleti,democratic_reform,92,443,37,264,548.35,314.80461,-0.7516556291390728,negative
Bağımsız,security,Guvenlik,security_conflict,110,375,47,319,503.1,285.12278,-0.7411444141689373,negative
Bağımsız,economy,Ekonomi,macro_economy,66,372,56,309,499.75,278.102695,-0.6912568306010929,negative
Adalet ve Kalkınma Partisi,tutelage,Vesayet,constitutional_conflict,143,259,27,411,412.3,274.539345,-0.8747152619589977,negative
Adalet ve Kalkınma Partisi,constitution,Anayasa,constitutional_conflict,121,354,19,225,439.40000000000003,251.65481,-0.8408163265306122,negative
Adalet ve Kalkınma Partisi,democracy,Demokrasi,democratic_reform,137,395,46,276,507.7,245.589885,-0.7120743034055728,negative
Cumhuriyet Halk Partisi,tutelage,Vesayet,constitutional_conflict,119,186,13,352,313.75,218.389815,-0.9262295081967213,negative
